Disease Surveillance Database,Added By,Status,Reviewer,What organization created the system?,NP (non-profit) FP (for-profit) Gov (Government),Justification of Removal (it's not health epi focused),ik,Current/Terminated/Absorbed,Date Created,Date Terminated (C if current),LINKS to database as well as relevant articles,Geographic Region,City,Region,Countries,Global (mark as global),Data Source (Where does the data come from?),Data Type,Justification of Removal (it's not health epi focused),LINKS to database as well as relevant articles,Source Classification (of illness iNFormation),Syndromic Surveillance, Surveillance,Humans,Animals,Plants,Specific Symptoms Surveyed,Specific Diseases Surveyed,NOTES,MORE NOTES
Syndrome Reporting Information System (SYRIS),in,,Robyn,Ares Corporation,FP,,,Terminated,2003,2014,https://www.arescorporation.com/software/syris/,,Lubbock,Texas,United States,,"It collects data from a wide range of health professionals including: health care workers, school nurses, laboratories, EMT’s, coroners, plus animal control officers, veterinarians, and wildlife rehabilitators",syndromes/symptoms,,https://www.arescorporation.com/software/syris/," clinical, lab, non-clinical, NPHR ",na,,yes,yes,no,,nonspecific,"A commercial, off-the-shelf clinician-based reporting
  system for disease surveillance that can be adapted to different situations, not a disease database itself",
National Poison Data System (NPDS),Faith,,,American Association of Poison Control Centers (AAPCC),NP,,1985-current,Current ,1985,C ,http://www.aapcc.org/,,,,United States,,,,,http://www.aapcc.org/,citizen,na,,yes,yes,no,,poisoning,,
Food Safety Surveys,Faith,,,Food and Drug Administration (FDA),Gov,,,Terminated,1993,2010,,,,,United States,,,,,,citizen/self reporting,na,,no,yes,yes,,"food safety, health and diet perceptions",,
Wildlife Health Event Reporter (WHER),Laura H.,,,"U.S. Geological Survey (USGS), University of Wisconsin-Madison School of Veterinary Medison",Gov,,2010-current,Current,2010,C,http://www.whmn.org/wher/,,,,United States,,,,,http://www.whmn.org/wher/,citizen/self reporting,na,no,no,yes,no,no,nonspecific,http://www.whmn.org/wher/events/report,
Beetle Busters,Laura H.,,,USDA Animal and Plant Health Inspection Service (APHIS),Gov,,1998-current,Current,1998,C,http://www.beetlebusters.info/,,,,United States,,,,,http://www.beetlebusters.info/,"citizen/self reporting, field reporting",na,no,no,yes,yes,,long horned beetle (pest),,
Quarantine Activity Reporting System (QARS),Laura H.,,,Centers for Disease Control and Prevention (CDC) ,Gov,,2005-current,Current,2005,C,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1839249/pdf/AMIA2006_0990.pdf,United States,,,United States,,,,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1839249/pdf/AMIA2006_0990.pdf,clinical,na,,yes,yes,no,,"Cholera, Diphtheria, Influenza (all strains, seasonal and pandemic), Plague, Severe Acute Respiratory Syndrome (SARS), Smallpox, Tuberculosis, Yellow Fever",,
EMERGEncy ID Net,Faith,,,Centers for Disease Control and Prevention (CDC),Gov,,1995-2001,Terminated ,1995,2001,http://emergencyidnet.org/,,"Charlotte, Los Angeles, Phoenix, Philadelphia, Minneapolis, Portland, Kansas City, New Orleans, Albuquerque, New York, Baltimore","North Carolina, California, Arizona, Pennsylvania, Minnesota, Oregon, Missouri, Louisiana, New Mexico, New York, Maryland
",United States,,,,,http://emergencyidnet.org/,clinical,na,,yes,no,no,,"E. Coli, MRSA, Pneumonia Pneumococcal, Tuberculosis, Tetanus, Rabies",,
Missouri Communicable Disease Surveillance,Faith,,,Missouri Department of Health & Senior Services,Gov,,2005-current,Current ,2005,C ,http://health.mo.gov/living/healthcondiseases/communicable/communicabledisease/index.php,,,Missouri,United States,,,,,http://health.mo.gov/living/healthcondiseases/communicable/communicabledisease/index.php,clinical,na,,yes,yes,no,,nonspecific,,
Maryland Infectious Disease Bureau,Laura H.,,,Maryland Department of Health and Mental Hygiene (DHMH) ,Gov,,2007-2013,Terminated,2007,2013,http://phpa.dhmh.maryland.gov/SitePages/infectious_disease.aspx,,,Maryland,United States,,,,,http://phpa.dhmh.maryland.gov/SitePages/infectious_disease.aspx,clinical,na,,yes,yes,no,,nonspecific (infectious diseases),,
Mississippi State Department of Health (MSDH),Laura H.,,,Mississippi State Department of Health (MSDH) ,Gov,,1982-current,Current,1982,C,"http://msdh.ms.gov/msdhsite/_static/14,0,73.html",Mississippi,,Mississippi,United States,,,,,"http://msdh.ms.gov/msdhsite/_static/14,0,73.html",clinical,na,,yes,yes,no,,nonspecific (reportable diseases),,
Idaho Department of Health and Welfare,Laura H.,,,Idaho Department of Health and Welfare,Gov,,2002-2013,Terminated,2002,2013,http://www.healthandwelfare.idaho.gov/Health/Epidemiology/tabid/111/Default.aspx,,,Idaho,United States,,,,,http://www.healthandwelfare.idaho.gov/Health/Epidemiology/tabid/111/Default.aspx,clinical,na,,yes,yes,no,,nonspecific (reportable diseases),,
New Hampshire Veterinary Surveillance,,,,New Hampshire Department of Health and Human Services,Gov,,,NF,NF,NF,http://www.dhhs.nh.gov/dphs/cdcs/surveillance/bioterrorism.htm,,,New Hampshire,United States,,,,,http://www.dhhs.nh.gov/dphs/cdcs/surveillance/bioterrorism.htm,clinical,na,,yes,yes,no,,zoonoses,,
West Nile Virus Suveillance System- Lincoln Park Zoo,Faith,,,"Lincoln Park Zoo, CDC","Gov, NP ",,,Terminated,2001,2006,http://www.zooanimalhealthnetwork.org/WNV.aspx,,,,United States,,,,,http://www.zooanimalhealthnetwork.org/WNV.aspx,"clinical (vet), field-reporting, lab",na,no,no,yes,no,,west nile virus,,
Los Angeles County Department of Public Health,Laura H.,,,County of Los Angeles (L.A. County) ,Gov,,2010-current,Current,2010,C,http://publichealth.lacounty.gov/report/phreports.htm,,Los Angeles,California,United States,,,,,http://publichealth.lacounty.gov/report/phreports.htm,"clinical, citizen/self reporting",na,,yes,yes,no,,nonspecific (reportable diseases),,
"County of San Diego Public Health Services, Epidemiology Program",Laura H.,,,County of San Diego Public Health Services,Gov,,1996-current,Current,1996,C,http://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/disease-surveillance.html,San Diego,San Diego,California,United States,,,,,http://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/disease-surveillance.html,"clinical, lab",na,,yes,yes,no,,"Amebiasis, Campylobacter, E. coli, Ebola, Giardia, Hantavirus, Head Lice, Hepatitis, Influenza, Kawasaki Disease, Lyme Disease, Meningococcal Infections, MRSA, Norovirus, Rabies, Salmonella, Scabies, Shigella, West Nile Virus, Viral Meningitis, Yersinia",,
Nebraska Department of Health & Human Services - Office of Epidemiology (NE DHHS),Laura H.,,,Nebraska Department of Health & Human services (NE DHHS),Gov,,1984-current,Current ,1984,C ,http://dhhs.ne.gov/publichealth/EPI/Pages/Home.aspx,United States,,Nebraska,United States,,,,,http://dhhs.ne.gov/publichealth/EPI/Pages/Home.aspx,"clinical, lab",na,no,yes,yes,no,,nonspecific (reportable diseases),,
City of Pasadena Public Health Department,Laura H.,,,City of Pasadena,Gov,,2009-current,Current,2009,C,http://www.ci.pasadena.ca.us/PublicHealth/For_Providers/,,Pasadena,California,United States,,,,,http://www.ci.pasadena.ca.us/PublicHealth/For_Providers/,"clinical, lab, non-clinical",na,,yes,yes,no,,nonspecific (reportable diseases),,
Utah Bureau of Epidemiology,Laura H.,,,Utah Department of Health,Gov,,2013-current,Current,2013,C,http://health.utah.gov/epi/reporting/index.html,Utah,,Utah,United States,,,,,http://health.utah.gov/epi/reporting/index.html,"clinical, non-clinical",na,,yes,yes,no,,nonspecific (reportable diseases),,
INDICATOR,Laura H.,,,University of Illinois,NP,,2008-current,Current,2008,C,http://healthit.illinois.edu/indicator/,,,Illinois,United States,,,,,http://healthit.illinois.edu/indicator/,"clinical, non-clinical, PHOR, NPHR",na,NF,yes,yes,no,,nonspecific,"emergency department and convenient care visits, patient advisory nurse calls, school attendance, reportable diseases, weather, and animal control",
ArboNET,Faith,,,Centers for Disease Control and Prevention (CDC),Gov,,"2000 (WNV), 2003 (expanded to other Arboviruses)",Current,2000,C ,http://www.iom.edu/~/media/Files/Activity%20Files/Global/ZoonoticDisease/Presentation4Fischer.pdf AND http://www.cdc.gov/westnile/resourcepages/survresources.html,"All 50 states of the US, New York City, District of Columbia, Puerto Rico",,,United States,,"State and local health departments, laboratories, blood services agencies","HUMANS: demographics, county of residence, date of symptom onset, date of donation (for blood donors), type of arbovirus, case status (confirmed, probably, suspected, not a case), clinical syndrom (fever, encephalitis, meningitis, asymptomatic), hospitalization, outcome (died/survived), blood or organ donor, medical risk factors, location of testing (which laboratory) ANIMALS: animal species, state and county, date of symptom onset or date of collection, type of arbovirus",,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3366375/,"clinical, NPHR, lab",na,,Yes,Yes,no,,"Cache Valley, California Serogroup viruses, Chikungunya, Colorado tick fever, Dengue, Eastern equine encephalitis, Jamestown canyon, Japanese encephalitis, LaCrosse, Powassan, St. Louis encephalitis, Venezuelan equine encephalitis, Western equine encephalitis, West Nile",Reporting varies by state (ex. not all states report animal cases),
Illinois Sentinel Plot System,Faith,,,"Illinois Soybean Associaiton, USDA Risk Management Agency, North Central Soybean Research Program ","Gov, NP",,2005-current,Current ,2005,C ,https://engage.illinois.edu/entry/15571,,,Illinois,United States,,,,,http://agronomyday.cropsci.illinois.edu/2005/Tour_A/Sentinel_Plot/,field reporting,na,no,no,no,yes,,Asian soybean rust (Phakopsora pachyrhizi),,
Offshore Pest Information System (OPIS),Faith,,,USDA Animal and Plant Health Inspection Service (APHIS),Gov,,2005-2010,Terminated ,2005,2010,http://ice.ucdavis.edu/invasives/sources/species/usda-aphis-offshore-pest-information-system-opis,,,,United States,,,,,http://ice.ucdavis.edu/invasives/sources/species/usda-aphis-offshore-pest-information-system-opis,field reporting,na,no,no,yes,yes,,pests,,
Seabird Ecological Assessment Network (SEANET),Laura H.,,,Tufts Cumming School of Veterinary Medicine,NP,,,Current,2008,C,http://www.wdin.org/seanet/loginscreen.jsp,,,Eastern seaboard,United States,,,,,http://www.wdin.org/seanet/loginscreen.jsp,"field reporting, citizen/self reporting",na,no,no,yes,no,mortality,nonspecific,,
National Animal Health Monitoring System (NAHMS),Faith,,,"USDA Animal and Plant Health Inspection Service (APHIS), United States Department of Agriculture (USDA)",Gov,,1983-current,Current ,1983,C ,http://www.aphis.usda.gov/wps/portal/aphis/ourfocus/animalhealth?1dmy&urile=wcm%3apath%3a%2FAPHIS_Content_Library%2FSA_Our_Focus%2FSA_Animal_Health%2FSA_Monitoring_And_Surveillance%2FSA_NAHMS%2F,,,,United States,,,,,http://www.aphis.usda.gov/wps/portal/aphis/ourfocus/animalhealth?1dmy&urile=wcm%3apath%3a%2FAPHIS_Content_Library%2FSA_Our_Focus%2FSA_Animal_Health%2FSA_Monitoring_And_Surveillance%2FSA_NAHMS%2F,"field reporting, lab",na,no,no,yes,no,no,nonspecific,,
National Wildlife Health Center Mortality Events,Faith,,,U.S. Geological Survey (USGS),Gov,,1995-current,Current ,1995,C ,http://www.nwhc.usgs.gov/mortality_events/ongoing.jsp,,,,United States,,,,,http://www.nwhc.usgs.gov/mortality_events/ongoing.jsp,"field reporting, NPHR",na,no,no,yes,no,,"Avian Influenza, Chronic Wasting Disease, Foot and Mouth Disease, West Nile Virus, Avian Botulism, Lead Poisoning, White Nose Syndrome, Salmonellosis, Avian Pox, Duck Plague, Avian Vacuolar Myelinopathy",,
Pest Tracker-National Agricultural Pest Information System (NAPIS),Laura H.,,,Purdue University,NP,,2006-current,Current,2006,C,http://pest.ceris.purdue.edu/index.php,,,"All 50 States, Guam, US Virgin Islands",United States,,,,,http://pest.ceris.purdue.edu/index.php,"field reporting, NPHR",na,,no,yes,yes,,nonspecific (exotic pests),,
Exotic Pest Information Collection and Analysis (EPICA),Laura H.,* can't find,,USDA Animal and Plant Health Inspection Service (APHIS),Gov,,,nf ,nf ,nf ,,,,,United States,,,,,https://docs.google.com/spreadsheets/d/12KBoYMgqCc14WlE0JYyZLbo907f2SBPlEGgajF2j7GI/edit#gid=0,"journals, news",na,yes,no,yes,yes,,pests,,
GenBank,,KEEP,ZG-yes,National Institutes of Health (NIH),Gov,"database of nucleotide sequences, not surveillance",,Current,1982,C,http://www.ncbi.nlm.nih.gov/genbank,,,,United States,,,,,,lab,na,,yes,yes,yes,,**,http://www.ncbi.nlm.nih.gov/books/NBK148949/,
National Animal Health Laboratory Network (NAHLN) -,Karissa,,,"APHIS, National Institute of Food and Agriculture (NIFA), American Association of Veterinary Laboratory Diagnosticians (AAVLD)","Gov, NP",,2008-current,Current,2008,C,http://www.aphis.usda.gov/wps/portal/banner/help?1dmy&urile=wcm%3Apath%3A/APHIS_Content_Library/SA_Our_Focus/SA_Animal_Health/SA_Monitoring_And_Surveillance,,,,United States,,,,,,lab,na,no,no,yes,no,,"African Swine Fever (ASF), Avian Influenza (AI), Bovine Spongiform Encephalopathy (BSE), Chronic Wasting Disease (CWD), Classical Swine Fever (CSF), Exotic Newcastle Disease (END), Foot and Mouth Disease (FMD), Influenza A in, Swine (IAV-S), Pseudorabies Virus (PRV), Scrapie, Vesicular Stomatitis Virus (VSV)",,
National Antimicrobial Resistance Monitoring System (NARMS),Faith,,,"Food and Drug Administration (FDA), United States Department of Agriculture (USDA), Centers for Disease Control and Prevention (CDC)",Gov,,1996-current,Current ,1996,C ,http://www.fda.gov/AnimalVeterinary/SafetyHealth/AntimicrobialResistance/NationalAntimicrobialResistanceMonitoringSystem/default.htm,,,,United States,,,,,http://www.fda.gov/AnimalVeterinary/SafetyHealth/AntimicrobialResistance/NationalAntimicrobialResistanceMonitoringSystem/default.htm,lab,na,,yes,yes,no,,antimicrobial resistance,,
Colorado Electronic Disease Reporting System (CEDRS),Laura H.,,,Colorado Department of Public Health and Environment (CDPHE),Gov,,1999-current,Current,1999,C,https://www.colorado.gov/pacific/cdphe/report-a-disease,Colorado,,Colorado,United States,,,,,https://www.colorado.gov/pacific/cdphe/report-a-disease,lab,na,,yes,yes,no,,"Carbapenem-resistant enterobacteriaceae (CRE), Cardiovascular disease, Hantavirus, Hepatitis, Influenza, Plague, Pertussis, Rabies, STIs, Tuberculosis, West Nile ",,
Microbiological and Residue Computer Information System (MARCIS),Faith,,,USDA Food Safety and Inspection Service (FSIS),Gov,"Does not conduct surveillance, just data entry system",,Current,NF,C,https://books.google.com/books?id=6uku5il1000C&pg=PA122,,,,United States,,FSIS inspectors and laboratories,"sampling requests by FSIS personnel, tracking information on samples, sample identification, results of analyses performed at laboratories",,http://www.usda.gov/oig/webdocs/lab.pdf,lab,na,no,no,yes,no,,food safety,http://www.fsis.usda.gov/wps/portal/fsis/topics/inspection/workforce-training/policypoints/!ut/p/a0/04_Sj9CPykssy0xPLMnMz0vMAfGjzOINAg3MDC2dDbz8LQ3dDDz9wgL9vZ2dDSwcTfQLsh0VAZcBLLc!/?1dmy&current=true&urile=wcm%3Apath%3A%2Ffsis-content%2Finternet%2Fmain%2Ftopics%2Fdata-collection-and-reports%2Fchemistry%2Fresidue-chemistry,
The National Prion Disease Pathology Surveillance Center,Olivia W.,,,Case Western Reserve University,NP,,,Current,1997,C,Animal Prion Diseases:Bovine Spongiform Encephalopathy (BSE)Chronic Wasting Disease (CWD)ScrapieTransmissible mink encephalopathyFeline spongiform encephalopathyUngulate spongiform encephalopathy,,,,United States,,Laboratories,laboratory confirmed-cases from tissue samples and clinical information,,Animal Prion Diseases:Bovine Spongiform Encephalopathy (BSE)Chronic Wasting Disease (CWD)ScrapieTransmissible mink encephalopathyFeline spongiform encephalopathyUngulate spongiform encephalopathy,lab,na,,yes,yes,no,,"Human Prion DiseasesCreutzfeldt-Jakob Disease (CJD)Variant Creutzfeldt-Jakob Disease (vCJD)Gerstmann-Straussler-Scheinker SyndromeFatal Familial InsomniaKuru. Bovine Spongiform Encephalopathy (BSE)
Chronic Wasting Disease (CWD)
Scrapie
Transmissible mink encephalopathy
Feline spongiform encephalopathy
Ungulate spongiform encephalopathy",,
Shrimp Surveillance and Certification Program,Laura H.,,,Hawaii Department of Agriculture (HDOA) ,Gov,,1999-current,Current,1999,C,http://hdoa.hawaii.gov/ai/aquaculture-and-livestock-support-services-branch/spf-shrimp-broodstock/,United States,,,United States,,,,,http://hdoa.hawaii.gov/ai/aquaculture-and-livestock-support-services-branch/spf-shrimp-broodstock/,lab,na,,no,yes,no,,NF,participating stocks are tested for specific pathogens which are not listed,
Laboratory Electronic Application for Results Notification (LEARN),Laura H.,KEEP,ZG-yes,USDA Food Safety and Inspection Service (FSIS),Gov,"Does not conduct surveillance, just data entry system",replaced by LIMS-Direct,Absorbed,nf ,2013,http://www.archives.gov/records-mgmt/rcs/schedules/departments/department-of-agriculture/rg-0462/n1-462-04-019_sf115.pdf,USA,,,United States,,,,,http://www.archives.gov/records-mgmt/rcs/schedules/departments/department-of-agriculture/rg-0462/n1-462-04-019_sf115.pdf,lab,na,no,no,yes,no,,nonspecific,,
National Poultry Improvement Program (NPIP),Olivia W.,,,US Congress (Later combined w/ NTIP under USDA APHIS),Gov,,,Current,1930's,C,"http://www.poultryimprovement.org/default.cfm
http://www.poultryimprovement.org/documents/AuthorizedLaboratories6-1-2015.pdf",,,,United States,,veterinary field & laboratory staff,laboratory data,,"http://www.poultryimprovement.org/default.cfm
http://www.poultryimprovement.org/documents/AuthorizedLaboratories6-1-2015.pdf",lab,na,,no,yes,no,,nonspecific,,
Food Emergency Response Network (FERN),Laura H.,,,"Food and Drug Administration (FDA), United States Department of Agriculture (USDA)",Gov,,2007-2013,Terminated,2007,2013,http://www.fernlab.org/,,,,United States,,,,,http://www.fernlab.org/,lab,na,,no,yes,yes,,nonspecific (foodborne),"biological, chemical, radiological contamination of food",
Food Safety Inspection Service (FSIS),Laura H.,,,US Department of Agriculture (USDA),Gov,not surveillance,,Current,1981,C,http://www.fsis.usda.gov/wps/portal/informational/aboutfsis,,,,United States,,,,not surveillance,http://www.fsis.usda.gov/wps/portal/informational/aboutfsis,lab,na,,no,yes,no,,nonspecific (foodborne),also looking at chemical/radiological/other contamination,
Laboratory Information Management System- Direct (LIMS-Direct),,,,USDA Food Safety and Inspection Service (FSIS),Gov,,replaced LEARN in 2013,Current,2013,C,http://www.fsis.usda.gov/wps/wcm/connect/0b4c10c4-a13f-415e-b3b3-bb4cf35dd628/60-14.pdf?MOD=AJPERES,USA,,,United States,,,,,http://www.fsis.usda.gov/wps/wcm/connect/0b4c10c4-a13f-415e-b3b3-bb4cf35dd628/60-14.pdf?MOD=AJPERES,lab,na,,no,yes,no,,nonspecific (foodborne),,
Microbiological and Residue Computer Information System (MARCIS),Laura H.,,,Food Safety and Inspection Service (FSIS),Gov,,,nf ,nf ,nf ,https://books.google.com/books?id=xnjc_-0YNKQC&pg=PA54,,,,United States,,,,,https://books.google.com/books?id=xnjc_-0YNKQC&pg=PA54,lab,na,,no,yes,no,,nonspecific (foodborne),,
Electronic Laboratory Exchange Network (eLEXNET),Laura H.,,,Food and Drug Administration (FDA),Gov,,1999-2013,Terminated,1999,2013,https://www.elexnet.com/elex/,,,,United States,,,,,https://www.elexnet.com/elex/,lab,na,,no,yes,yes,,nonspecific (foodborne),also looking at chemical/radiological/other contamination,
California Electronic Laboratory Disease Alert and Reporting System (CELDAR),Laura H.,,,California Department of Public Health,Gov,,,Terminated,2000,2004,,,,California,United States,,,,,https://www.cdph.ca.gov/HealthInfo/discond/Documents/CA_BT-Surv_Epi_Plan-2002b.pdf,lab,na,,yes,yes,no,,nonspecific (reportable diseases),pilot,
Rabies Surveillance Network (RSN),Faith,,,Health Indicators Warehouse (HIW),Gov,,,Terminated,2010,2012,http://www.healthindicators.gov/Resources/DataSources/RSN_194/Profile,,,,United States,,"State Public Health Laboratories, State Agricultural Laboratories, University Veterinary Diagnostic Laboratories, and USDA / Wildlife Services","detailed information on all animals tested for rabies, such as the species, vaccination status, human or animal exposures, detailed location information, and rabies virus variant information, when available",,http://www.healthindicators.gov/Resources/DataSources/RSN_194/Profile,lab,na,,no,yes,no,,Rabies,,
TickNET,Faith,,,CT Emerging Infections Program,NP,network fostering collaboration between CDC tick surveillance systems /,,Terminated,2007,2012,http://publichealth.yale.edu/eip/projects/ticknet.aspx,,,,United States,,,,,http://publichealth.yale.edu/eip/projects/ticknet.aspx,"lab, field reporting",na,no,yes,yes,no,,"Lyme disease (LD), Rocky Mountain spotted fever (RMSF), human granulocytic anaplasmosis (HGA), human monocytic ehrlichiosis (HME), tularemia, Southern tick-associated rash illness (STARI), tick-borne relapsing fever (TBRF), Colorado tick fever, Powassan encephalitis, and babesiosis.",,
Avian Influenza Surveillance Plan,Faith,,,"USDA, Association of Zoos and Aquariums (AZA)","Gov, NP",,,Terminated,2006,2012,http://www.zooanimalhealthnetwork.org/ai/home.aspx,,,,United States,,,,,http://www.zooanimalhealthnetwork.org/ai/home.aspx,"lab, field reporting (animals)",na,no,no,yes,no,,Avian Influenza,,
Animal and Plant Health Inspection Service (APHIS),Laura H.,,,United States Department of Agriculture,Gov,,,Current,2008,C,http://www.aphis.usda.gov/wps/portal/aphis/home/,,,,United States,,,,,http://www.aphis.usda.gov/wps/portal/aphis/home/,"lab, field reporting, NPHR*",na,no,no,yes,yes,,nonspecific,,
National Animal Health Reporting System (NAHRS),Faith,,,USDA Animal and Plant Health Inspection Service (APHIS),Gov,,2006-current,Current ,2006,C ,http://www.aphis.usda.gov/wps/portal/aphis/ourfocus/animalhealth?1dmy&urile=wcm%3apath%3a%2Faphis_content_library%2Fsa_our_focus%2Fsa_animal_health%2Fsa_monitoring_and_surveillance%2Fsa_disease_reporting%2Fct_about,,,,United States,,,,,http://www.aphis.usda.gov/wps/portal/aphis/ourfocus/animalhealth?1dmy&urile=wcm%3apath%3a%2Faphis_content_library%2Fsa_our_focus%2Fsa_animal_health%2Fsa_monitoring_and_surveillance%2Fsa_disease_reporting%2Fct_about,"lab, NPHR",na,no,no,yes,no,no- all reportable diseases,nonspecific,,
District of Columbia Department of Public Health,Laura H.,,,District of Columbia Department of Health ,Gov,,2002-2013,Terminated,2002,2013,http://doh.dc.gov/,,,District of Columbia,United States,,,,,http://doh.dc.gov/,"lab, PHOR",na,,yes,yes,no,,nonspecific (reportable diseases),,
National Residue Program (NRP),Faith,,,USDA Food Safety and Inspection Service (FSIS),Gov,,1976-current,Current ,1976,C ,http://www.fsis.usda.gov/wps/portal/fsis/topics/inspection/workforce-training/policypoints/!ut/p/a0/04_Sj9CPykssy0xPLMnMz0vMAfGjzOINAg3MDC2dDbz8LQ3dDDz9wgL9vZ2dDSwcTfQLsh0VAZcBLLc!/?1dmy&current=true&urile=wcm%3Apath%3A%2Ffsis-content%2Finternet%2Fmain%2Ftopics%2Fdata-collection-and-reports%2Fchemistry%2Fresidue-chemistry,,,,United States,,,,,http://www.fsis.usda.gov/wps/portal/fsis/topics/inspection/workforce-training/policypoints/!ut/p/a0/04_Sj9CPykssy0xPLMnMz0vMAfGjzOINAg3MDC2dDbz8LQ3dDDz9wgL9vZ2dDSwcTfQLsh0VAZcBLLc!/?1dmy&current=true&urile=wcm%3Apath%3A%2Ffsis-content%2Finternet%2Fmain%2Ftopics%2Fdata-collection-and-reports%2Fchemistry%2Fresidue-chemistry,Lab*,na,,no,yes,no,,"E. Coli, Listeriosis, Salmonellosis, Campylobacteriosis ",http://www.fsis.usda.gov/OPHS/blue2000/sec13all.pdf,
National Association of Health Data Organizations (NAHDO),Laura H.,,,National Association of Health Data Organizations (NAHDO),NP,,1986-current,Current,1986,C,http://www.nahdo.org/data_resources,,,,United States,,,,,http://www.nahdo.org/data_resources,NA,na,,yes,no,no,,**,,
