"sosid","name","gov","np","fp","nf","status","date_created","date_terminated","current","humans","animals","plants","syndromic"
"SOS55","Avian Influenza Surveillance Plan",TRUE,TRUE,FALSE,FALSE,"terminated",2005-12-31,2011-12-31,FALSE,"no","yes","no","blank"
"SOS56","Animal and Plant Health Inspection Service (APHIS)",TRUE,FALSE,FALSE,FALSE,"current",2007-12-31,2014-12-31,TRUE,"no","yes","yes","blank"
"SOS57","National Animal Health Reporting System (NAHRS)",TRUE,FALSE,FALSE,FALSE,"current",2005-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS58","District of Columbia Department of Public Health",TRUE,FALSE,FALSE,FALSE,"terminated",2001-12-31,2012-12-31,FALSE,"yes","yes","no","blank"
"SOS59","National Residue Program (NRP)",TRUE,FALSE,FALSE,FALSE,"current",1975-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS60","National Association of Health Data Organizations (NAHDO)",FALSE,TRUE,FALSE,FALSE,"current",1985-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS61","FoodSHIELD",TRUE,FALSE,FALSE,FALSE,"current",2003-12-31,2014-12-31,TRUE,"no","yes","yes","blank"
"SOS62","National Animal Health Laboratory Network",TRUE,FALSE,FALSE,FALSE,"current",2005-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS63","Foodborne Outbreak Online Database FOOD Tool",TRUE,FALSE,FALSE,FALSE,"current",1997-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS64","Bureau of HIV/AIDS Epidemiology New York State",TRUE,FALSE,FALSE,FALSE,"current",NA,2014-12-31,TRUE,"yes","no","no","blank"
"SOS65","Iowa Electronic Health Markets (IEhM)",FALSE,TRUE,FALSE,FALSE,"terminated",2006-12-31,2008-12-31,FALSE,"yes","no","no","blank"
"SOS66","Early Detection and Distribution Mapping System (EDDMapS)",FALSE,TRUE,FALSE,FALSE,"current",2004-12-31,2014-12-31,TRUE,"no","yes","yes","blank"
"SOS67","Nonindigenous Aquatic Species Alert System",TRUE,FALSE,FALSE,FALSE,"current",1989-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS68","Biodefend",FALSE,TRUE,TRUE,FALSE,"nf",NA,NA,FALSE,"yes","no","no","blank"
"SOS69","HDOA Animal Disease Control Branch",TRUE,FALSE,FALSE,FALSE,"nf",NA,NA,FALSE,"no","yes","no","blank"
"SOS70","National Aquaculture Program (NAP)",TRUE,FALSE,FALSE,FALSE,"current",NA,2014-12-31,TRUE,"no","yes","yes","blank"
"SOS71","Maine Health and Environmental Testing Laboratory (HETL)",TRUE,FALSE,FALSE,FALSE,"current",1999-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS72","Carolina's Health Electronic Surveillance System (CHESS)",TRUE,FALSE,FALSE,FALSE,"current",NA,2014-12-31,TRUE,"yes","no","no","blank"
"SOS73","EpiCom",TRUE,FALSE,FALSE,FALSE,"current",NA,2014-12-31,TRUE,"yes","no","no","blank"
"SOS74","Emerging Infections Programme (EIP)",TRUE,FALSE,FALSE,FALSE,"current",1994-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS75","ESPnet",TRUE,TRUE,FALSE,FALSE,"terminated",2008-12-31,2010-12-31,FALSE,"yes","no","no","blank"
"SOS76","North Carolina Department of Public Health and Human Services (NC DPH)",TRUE,FALSE,FALSE,FALSE,"current",NA,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS77","Indiana National Electronic Disease Surveillance System (I-NEDSS)",TRUE,FALSE,FALSE,FALSE,"current",1998-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS78","National Healthcare Safety Network",TRUE,FALSE,FALSE,FALSE,"current",2005-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS79","Public Health Laboratory Information System (PHLIS)",TRUE,FALSE,FALSE,FALSE,"terminated",1987-12-31,1993-12-31,FALSE,"yes","yes","nf","blank"
"SOS80","Texas Department of State Health Services National Electronic Disease Surveillance System (DSHS NEDSS)",TRUE,FALSE,FALSE,FALSE,"current",NA,2014-12-31,TRUE,"yes","no","no","blank"
"SOS81","North Carolina Collaborative for Bio-Preparedness (NCB-Prepared)",TRUE,TRUE,FALSE,FALSE,"current",2009-12-31,2014-12-31,TRUE,"yes","yes","yes","blank"
"SOS82","Hawaii Department of Health",TRUE,FALSE,FALSE,FALSE,"current",2010-12-31,2014-12-31,TRUE,"yes","yes","yes","blank"
"SOS83","California Vectorborne Disease Surveillance (CalSurv)",TRUE,TRUE,FALSE,FALSE,"current",1995-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS84","Zoo Animal Health Network (ZAHN)",TRUE,FALSE,FALSE,FALSE,"terminated",2000-12-31,2012-12-31,FALSE,"no","yes","no","blank"
"SOS85","National Wildlife Health Center Wildlife Mortality Database (EPIZOO)",TRUE,FALSE,FALSE,FALSE,"current",1974-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS86","Pest Information Platform for Extension and Education (PIPE)",TRUE,FALSE,FALSE,FALSE,"current",2006-12-31,2014-12-31,TRUE,"no","yes","yes","blank"
"SOS87","Import Alerts Tracking System",TRUE,FALSE,FALSE,FALSE,"current",2007-12-31,2014-12-31,TRUE,"no","yes","yes","blank"
"SOS88","NBII Wildlife Disease Information Node",TRUE,FALSE,FALSE,FALSE,"terminated",2001-12-31,2011-12-31,FALSE,"no","yes","no","blank"
"SOS89","Highly Pathogenic Avian Influenza Early Detection Data System (HEDDS)",TRUE,FALSE,FALSE,FALSE,"terminated",2004-12-31,2009-12-31,FALSE,"no","yes","no","blank"
"SOS90","National Biosurveillance Integration Center (NBIC)",TRUE,FALSE,FALSE,FALSE,"current",2006-12-31,2014-12-31,TRUE,"yes","yes","yes","blank"
"SOS91","National Outbreak Reporting System (NORS)",TRUE,FALSE,FALSE,FALSE,"current",2008-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS92","National Electronic Disease Surveillance System (NEDSS) & NEDSS Base System (NBS)",TRUE,FALSE,FALSE,FALSE,"current",2000-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS93","Washington State Department of Health, Communicable Disease Surveillance Data",TRUE,FALSE,FALSE,FALSE,"current",1999-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS94","Bio-surveillance Common Operating Picture (BCOP)",TRUE,FALSE,FALSE,FALSE,"current",2008-12-31,2014-12-31,TRUE,"yes","yes","yes","blank"
"SOS95","Disease Maps",TRUE,FALSE,FALSE,FALSE,"current",1999-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS96","National Animal Health Surveillance System (NAHSS)",TRUE,FALSE,FALSE,FALSE,"current",2000-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS97","locust watch",TRUE,FALSE,FALSE,FALSE,"current",2008-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS98","Emergency Prevention System for Food Safety (EMPRES)",TRUE,FALSE,FALSE,FALSE,"current",1993-12-31,2014-12-31,TRUE,"yes","yes","yes","blank"
"SOS99","Animal Health and Veterinary Laboratories Agency (AHVLA)",TRUE,FALSE,FALSE,FALSE,"current",2010-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS100","Tick Recording Scheme (TRS)",TRUE,FALSE,FALSE,FALSE,"current",2004-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS101","New Disease Reports (NDR)",FALSE,TRUE,FALSE,FALSE,"current",1999-12-31,2014-12-31,TRUE,"no","no","yes","blank"
"SOS102","APHA Disease Surveillance Reports",TRUE,FALSE,FALSE,FALSE,"current",2010-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS103","SAVSNET (Small Animal Veterinary Surveillance Network)",FALSE,TRUE,FALSE,FALSE,"terminated",2007-12-31,2012-12-31,FALSE,"no","yes","no","blank"
"SOS104","TSE Surveillance (UK)",TRUE,FALSE,FALSE,FALSE,"current",2000-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS105","ArrayExpress",TRUE,FALSE,FALSE,FALSE,"current",2000-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS106","MRSA bacteraemia Enhanced Surveillance System (MESS)",TRUE,FALSE,FALSE,FALSE,"nf",2003-12-31,NA,FALSE,"yes","no","no","blank"
"SOS107","Health Protection Agency",TRUE,FALSE,FALSE,FALSE,"absorbed",2002-12-31,2012-12-31,FALSE,"yes","yes","yes","blank"
"SOS108","Non-Statutory Zoonoses Disease Surveillance Reports",TRUE,FALSE,FALSE,FALSE,"current",2009-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS109","Disease Reports, Ministry of Health and Social Welfare, Tanzania",TRUE,FALSE,FALSE,FALSE,"nf",NA,NA,FALSE,"yes","no","no","blank"
"SOS110","Socialdepartementet/Ministry of Health and Social Affairs",TRUE,FALSE,FALSE,FALSE,"nf",NA,NA,FALSE,"yes","no","no","blank"
"SOS111","CASE (Computer Assisted Search for Epidemics) Computer supported outbreak detection of the notifiable diseases in Sweden",TRUE,FALSE,FALSE,FALSE,"current",2004-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS112","Malaria Surveillance Database System (MSDS)",TRUE,FALSE,FALSE,FALSE,"current",2011-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS113","Health Management Information System(HMIS)",TRUE,FALSE,FALSE,FALSE,"current",1998-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS114","Swaziland's Health Information System",TRUE,FALSE,FALSE,FALSE,"current",1977-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS115","Infectious Disease Surveillance and Analysis System (IDSAS)",TRUE,TRUE,FALSE,FALSE,"terminated",2008-12-31,2008-12-31,FALSE,"no","yes","no","blank"
"SOS116","La Red Nacional de Vigilancia Epidemiológica (RENAVE) (National Epidemiological Surveillance Network)",TRUE,FALSE,FALSE,FALSE,"nf",1994-12-31,NA,FALSE,"yes","yes","yes","blank"
"SOS117","Federation of Infectious Diseases Societies of Southern Africa (FIDSSA)",FALSE,FALSE,FALSE,TRUE,"current",2007-12-31,2014-12-31,TRUE,"yes","nf","nf","blank"
"SOS118","South Asia Field Epidemiology and Technology Network (SAFETYNet)",FALSE,TRUE,FALSE,FALSE,"terminated",2008-12-31,2011-12-31,FALSE,"yes","yes","yes","blank"
"SOS119","Ministerstvo zdravotníctva Slovenskej republiky/Ministry of Health of the Slovak Republic",TRUE,FALSE,FALSE,FALSE,"current",2000-12-31,2014-12-31,TRUE,"nf","nf","nf","blank"
"SOS120","Ministry of Health, Singapore",TRUE,FALSE,FALSE,FALSE,"nf",NA,NA,FALSE,"yes","no","no","blank"
"SOS121","Quantifying Weather and Climate Impacts on Health in Developing Countries (QWeCI)",TRUE,FALSE,FALSE,FALSE,"terminated",2009-12-31,2012-12-31,FALSE,"yes","no","no","blank"
"SOS122","Marine Scotland Surveillance Program",TRUE,FALSE,FALSE,FALSE,"nf",NA,NA,FALSE,"no","yes","no","blank"
"SOS123","Scottish Infections Diseases Surveillance System 2 (SIDSS2)",TRUE,FALSE,FALSE,FALSE,"terminated",2008-12-31,2012-12-31,FALSE,"yes","no","no","blank"
"SOS124","Rwanda TRACnet",TRUE,FALSE,FALSE,FALSE,"current",2004-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS125","Electronic Integrated Disease Surveillance System (EIDSS)",TRUE,FALSE,FALSE,FALSE,"terminated",2004-12-31,2005-12-31,FALSE,"yes","yes","no","blank"
"SOS126","Systeme National D'Information Sanitaire (National Health Information System), Niger",TRUE,FALSE,FALSE,FALSE,"terminated",2004-12-31,2008-12-31,FALSE,"yes","yes","no","blank"
"SOS127","Wildlife Global Animal Information Network for Surveillance (Wildlife GAINS)",FALSE,TRUE,FALSE,FALSE,"terminated",2006-12-31,NA,FALSE,"no","yes","no","blank"
"SOS128","Real-time Biosurveillance Program**",FALSE,FALSE,FALSE,TRUE,"nf",NA,NA,FALSE,"yes","no","no","blank"
"SOS129","Event-Based Surveillance (EBS) system**",FALSE,FALSE,FALSE,TRUE,"nf",NA,NA,FALSE,"yes","no","no","blank"
"SOS130","East African Centre for Infectious Disease Surveillance and Response (EAACIDS)",FALSE,TRUE,FALSE,FALSE,"nf",NA,NA,FALSE,"yes","yes","yes","blank"
"SOS131","RabNet",TRUE,FALSE,FALSE,FALSE,"terminated",1958-12-31,NA,FALSE,"yes","yes","no","blank"
"SOS132","Argus",FALSE,TRUE,FALSE,FALSE,"current",2002-12-31,2014-12-31,TRUE,"yes","yes","yes","blank"
"SOS133","SHIFT",TRUE,FALSE,FALSE,FALSE,"terminated",1991-12-31,2003-12-31,FALSE,"no","yes","no","blank"
"SOS134","New Zealand Marine Biosecurity Porthole",TRUE,FALSE,FALSE,FALSE,"terminated",2010-12-31,2010-12-31,FALSE,"no","yes","no","blank"
"SOS135","Arbovirus and Culicoides Surveillance Programme",TRUE,FALSE,FALSE,FALSE,"terminated",1990-12-31,2012-12-31,FALSE,"no","yes","no","blank"
"SOS136","Transmissible Spongiform Encephalopathies Surveillance (TSE)",TRUE,FALSE,FALSE,FALSE,"current",2000-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS137","LabSurv",TRUE,FALSE,TRUE,FALSE,"current",NA,2014-12-31,TRUE,"yes","no","no","blank"
"SOS138","National Infectious Diseases Information System (ISIS-RIVM) - Infectious Disease Bulletin",TRUE,FALSE,FALSE,FALSE,"current",1989-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS139","WNV Surveillance Netherlands",TRUE,FALSE,FALSE,FALSE,"terminated",1998-12-31,2003-12-31,FALSE,"yes","yes","no","blank"
"SOS140","National Institute for Public Health and the Environment, Netherlands (RIVM)",TRUE,FALSE,FALSE,FALSE,"current",2006-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS141","Immune Epitope Database and Analysis Resource (IEDB)",TRUE,FALSE,FALSE,FALSE,"current",2007-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS142","(Immunology Database and Analysis Portal ) ImmPort",TRUE,FALSE,TRUE,FALSE,"current",2003-12-31,2014-12-31,TRUE,"yes","yes","nf","blank"
"SOS143","International System for Total Early Disease Detection (InSTEDD)",FALSE,TRUE,FALSE,FALSE,"current",2005-12-31,2014-12-31,TRUE,"yes","yes","yes","blank"
"SOS144","Patho Systems Resource Integration Center (PATRIC)",FALSE,TRUE,FALSE,FALSE,"current",2008-12-31,2014-12-31,TRUE,"yes","yes","yes","blank"
"SOS145","Magpi",FALSE,FALSE,TRUE,FALSE,"current",2008-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS146","EpiCenter",FALSE,FALSE,TRUE,FALSE,"current",2007-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS147","RedBat (Multi-use syndromic surveillance system for hospitals and public health agencies)",FALSE,FALSE,TRUE,FALSE,NA,2005-12-31,NA,FALSE,"yes","no","no","blank"
"SOS148","Medic Mobile",FALSE,TRUE,FALSE,FALSE,"current",2008-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS149","GATHERdata",FALSE,TRUE,FALSE,FALSE,"terminated",2008-12-31,2012-12-31,FALSE,"yes","yes","no","blank"
"SOS150","Organisations de Coordination et de Cooperation pour la luttle Conre les Grandes Endemies (OCCGE)",TRUE,FALSE,FALSE,FALSE,"absorbed",1959-12-31,1997-12-31,FALSE,"yes","yes","no","blank"
"SOS151","African Field Epidemiology Network",TRUE,FALSE,FALSE,FALSE,"current",2004-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS152","East Africa Integrated Disease Surveillance Network",TRUE,FALSE,FALSE,FALSE,"current",1999-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS153","Infectious Disease Weekly Report",TRUE,FALSE,FALSE,FALSE,"terminated",1997-12-31,2010-12-31,FALSE,"yes","yes","no","blank"
"SOS154","National Institute of Infectious Diseases",FALSE,TRUE,FALSE,FALSE,"current",1997-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS155","Japan, National Institute of Infectious Disease",TRUE,FALSE,FALSE,FALSE,"current",1913-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS156","Zanzara Tigre",TRUE,FALSE,FALSE,FALSE,"current",2004-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS157","Ministry of Health, Israel",TRUE,FALSE,FALSE,FALSE,"nf",NA,NA,FALSE,"yes","no","no","blank"
"SOS158","ASEAN Disease Surveillance Network (ADSNet)",TRUE,FALSE,FALSE,FALSE,"current",NA,2014-12-31,TRUE,"yes","no","no","blank"
"SOS159","National Centre for Integrated Pest Management (NCIPM)",TRUE,FALSE,FALSE,FALSE,"current",1987-12-31,2014-12-31,TRUE,"no","yes","yes","blank"
"SOS160","National Malaria Control Programmes",TRUE,FALSE,FALSE,FALSE,"current",2008-12-31,2014-12-31,TRUE,"yes","nf","nf","blank"
"SOS161","Connecting Organizations for Regional Disease Surveillance (CORDS)",FALSE,FALSE,FALSE,TRUE,"current",2008-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS162","Network of Regional Groups for Influenza Surveillance (GROGs)",TRUE,FALSE,FALSE,FALSE,"current",1983-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS163","European Nucleotide Archive (ENA)",TRUE,FALSE,FALSE,FALSE,"current",2009-12-31,2014-12-31,TRUE,"yes","yes","yes","blank"
"SOS164","EARSS",TRUE,FALSE,FALSE,FALSE,"absorbed",1997-12-31,2009-12-31,FALSE,"yes","no","no","blank"
"SOS165","DG SANCO internal crisis intranet",TRUE,FALSE,FALSE,FALSE,"nf",2010-12-31,NA,FALSE,"nf","nf","nf","blank"
"SOS166","The European Surveillance System (TESSy)",TRUE,FALSE,FALSE,FALSE,"current",2001-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS167","Joint Research Centre",TRUE,FALSE,FALSE,FALSE,"current",1956-12-31,2014-12-31,TRUE,"yes","yes","nf","blank"
"SOS168","Trade Control and Expert System (TRACES)",TRUE,FALSE,FALSE,FALSE,"current",2004-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS169","Trade Control and Expert System (TRACES)",TRUE,FALSE,FALSE,FALSE,"current",2003-12-31,2014-12-31,TRUE,"no","yes","no","blank"
"SOS170","ArboZoonet",TRUE,FALSE,FALSE,FALSE,"terminated",2007-12-31,2010-12-31,FALSE,"yes","yes","no","blank"
"SOS171","EuroTravNet",FALSE,TRUE,FALSE,FALSE,"current",2007-12-31,2014-12-31,TRUE,"yes","no","no","blank"
"SOS172","Electronic Foodborne and Non-foodborne Gastrointenstinal Outbreak Surveillance System (eFOSS)",TRUE,FALSE,FALSE,FALSE,"current",2008-12-31,2014-12-31,TRUE,"yes","yes","no","blank"
"SOS173","Bovine TB Surveillance in Great Britain",TRUE,FALSE,FALSE,FALSE,"terminated",2008-12-31,2012-12-31,FALSE,"no","yes","no","blank"
"SOS174","Great Britain Wildlife Disease Surveillance Partnership Quarterly Report",TRUE,FALSE,FALSE,FALSE,"terminated",2011-12-31,2012-12-31,FALSE,"no","yes","yes","blank"
