"sosid","name","gov","neia","np","fp","status","date_created","date_terminated","current","humans","animals","plants","syndromic"
"sos22","National Emergency Department information System (NEDIS), South Korea",TRUE,FALSE,FALSE,FALSE,"current",2003-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos23","National Respiratory and Enteric Virus Surveillance System (NREVSS)",TRUE,FALSE,FALSE,FALSE,"current",2007-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos24","Canadian Paediatric Surveillance Program (CPSP)",FALSE,FALSE,TRUE,FALSE,"current",2001-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos25","Canada's Immunization Monitoring Program ACTive (IMPACT)",TRUE,FALSE,TRUE,FALSE,"current",1996-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos26","National Animal Health Laboratory Network (NAHLN)",TRUE,FALSE,TRUE,FALSE,"current",2008-01-01,2015-01-01,TRUE,"no","yes","no","blank"
"sos27","Emergency Prevention System for Transboundary Animal Diseases (EMPRES)",TRUE,FALSE,FALSE,FALSE,"current",1994-01-01,2015-01-01,TRUE,"no","yes","no","blank"
"sos28","County of San Diego Public Health Services, Epidemiology Program",TRUE,FALSE,FALSE,FALSE,"current",1996-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos29","GeoSentinel Surveillance Network",TRUE,FALSE,TRUE,FALSE,"current",1995-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos30","Zoo Animal Health Network (ZAHN)",TRUE,FALSE,FALSE,FALSE,"terminated",2001-01-01,2013-01-01,FALSE,"no","yes","no","blank"
"sos31","Bioterrorism Epidemic Advanced Notification System (BEANS)",TRUE,FALSE,FALSE,FALSE,"neia",NA,NA,FALSE,"yes","no","no","yes"
"sos32","Wyoming infectious Disease Epidemiology Program",TRUE,FALSE,FALSE,FALSE,"current",2006-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos33","Folkh’lsomyndigheten - Public Health Agency of Sweden",TRUE,FALSE,FALSE,FALSE,"current",2014-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos34","Disease Surveillance Express, Taiwan",TRUE,FALSE,FALSE,FALSE,"current",2003-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos35","Syndrome Tracking and Encounter Management System (STEMS)",TRUE,FALSE,FALSE,FALSE,"terminated",2004-01-01,2012-01-01,FALSE,"yes","no","no","yes"
"sos36","Poland National Institute of Public Health (NIPH-NIH)",TRUE,FALSE,FALSE,FALSE,"terminated",1918-01-01,2009-01-01,FALSE,"yes","no","no","neia"
"sos37","National Outbreak Reporting System (NORS)",TRUE,FALSE,FALSE,FALSE,"current",2009-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos38","Hellenic Center for Disease Control & Prevention (HCDCP)",TRUE,FALSE,FALSE,FALSE,"current",2011-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos39","Laboratory Response Network (LRN)",TRUE,FALSE,FALSE,FALSE,"current",1999-08-01,2015-01-01,TRUE,"yes","yes","yes","blank"
"sos40","National Notifiable Diseases Surveillance System (NNDSS), Australia",TRUE,FALSE,FALSE,FALSE,"current",1991-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos41","Integrated surveillance system for the 2006 Winter Olympic and Paralympic Games",TRUE,FALSE,FALSE,FALSE,"terminated",2006-01-01,2006-01-01,FALSE,"yes","no","no","yes"
"sos42","Alaska Public Health Alert Network (PHAN)",TRUE,FALSE,FALSE,FALSE,"current",2011-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos43","Health Protection Scotland Weekly Data (HPS)",TRUE,FALSE,FALSE,FALSE,"terminated",1995-01-01,2009-01-01,FALSE,"yes","no","no","yes"
"sos44","Sistema Nacional de Vigilancia de la Salud (SNVS) - National Health Surveillance System",TRUE,FALSE,FALSE,FALSE,"current",2001-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos45","Zimbabwe Epidemiological Bulletin Archive",TRUE,FALSE,FALSE,FALSE,"terminated",2008-01-01,2013-01-01,FALSE,"yes","no","no","yes"
"sos46","Syndromic surveillance for G8 Summit in Gleneagles, Auchterarder, Scotland, July 2005",TRUE,FALSE,FALSE,FALSE,"terminated",2005-01-01,2005-01-01,FALSE,"yes","no","no","yes"
"sos47","BioWatch",TRUE,FALSE,FALSE,FALSE,"current",2001-01-01,2015-01-01,TRUE,"no","no","no","no"
"sos48","Nevada Public Health Preparedness (PHP)",TRUE,FALSE,FALSE,FALSE,"terminated",2002-01-01,2006-01-01,FALSE,"yes","no","no","neia"
"sos49","Surveillance van antibioticaresistentie (ISIS-AR)",TRUE,FALSE,FALSE,FALSE,"current",2011-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos50","European Antimicrobial Resistance Surveillance Network Surveillance (EARS-Net)",TRUE,FALSE,FALSE,FALSE,"current",2010-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos51","European Antimicrobial Resistance Surveillance System (EARSS)",TRUE,FALSE,FALSE,FALSE,"absorbed",1998-01-01,2010-01-01,FALSE,"yes","no","no","blank"
"sos52","Intensive Care Antimicrobial Resistance Epidemiology (ICARE)",TRUE,FALSE,TRUE,FALSE,"terminated",1995-01-01,2008-01-01,FALSE,"yes","no","no","no"
"sos53","International Network for the Study and Prevention of Emerging Antimicrobial Resistance (INSPEAR)",TRUE,FALSE,FALSE,FALSE,"neia",1998-01-01,NA,FALSE,"yes","no","no","no"
"sos54","National Antimicrobial Resistance Monitoring System (NARMS)",TRUE,FALSE,FALSE,FALSE,"current",1996-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos55","Surveillance for Emerging Antimicrobial Resistance Connected to Healthcare (SEARCH)",TRUE,FALSE,FALSE,FALSE,"neia",NA,NA,FALSE,"yes","no","no","no"
"sos56","Surveillance of Antimicrobial Resistance in Scotland (SARIS)",TRUE,FALSE,FALSE,FALSE,"neia",NA,NA,FALSE,"yes","no","no","no"
"sos57","Surveillance of Antimicrobial Resistance in Urinary Isolates in Scotland",TRUE,FALSE,FALSE,FALSE,"current",2012-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos58","Canadian Integrated Program for Antimicrobial Resistance Surveillance (CIPARS)",TRUE,FALSE,FALSE,FALSE,"terminated",1997-01-01,2007-01-01,FALSE,"yes","no","yes","no"
"sos59","European Surveillance of Antimicrobial Consumption Network (ESAC-Net)",TRUE,FALSE,FALSE,FALSE,"current",2011-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos60","English Surveillance Programme for Antimicrobial Utilization and Resistance (ESPAUR)",TRUE,FALSE,FALSE,FALSE,"terminated",2010-01-01,2013-01-01,FALSE,"yes","no","no","no"
"sos61","Arbovirus Disease Surveillance in Kansas",TRUE,FALSE,FALSE,FALSE,"current",2011-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos62","Arbovirus and Culicoides Surveillance Programme",TRUE,FALSE,FALSE,FALSE,"terminated",1991-01-01,2013-01-01,FALSE,"no","yes","no","blank"
"sos63","Illinois Sentinel Plot System",TRUE,FALSE,TRUE,FALSE,"current",2005-01-01,2015-01-01,TRUE,"no","no","yes","blank"
"sos64","National Environmental Public Health Tracking Network",TRUE,FALSE,FALSE,FALSE,"current",2012-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos65","Highly Pathogenic Avian influenza Early Detection Data System (HEDDS)",TRUE,FALSE,FALSE,FALSE,"terminated",2005-01-01,2010-01-01,FALSE,"no","yes","no","blank"
"sos66","Avian influenza Surveillance Plan",TRUE,FALSE,TRUE,FALSE,"terminated",2006-01-01,2012-01-01,FALSE,"no","yes","no","blank"
"sos67","Wet Market Surveillance",TRUE,FALSE,FALSE,FALSE,"terminated",2009-01-01,2011-01-01,FALSE,"yes","no","no","yes"
"sos68","Global Avian influenza Network for Surveillance (GAINS)",FALSE,FALSE,TRUE,FALSE,"terminated",2006-01-01,NA,FALSE,"no","yes","no","blank"
"sos69","Canadian Animal Health Surveillance Network (CAHSN)",TRUE,FALSE,FALSE,FALSE,"current",1992-01-01,2015-01-01,TRUE,"no","yes","no","blank"
"sos70","National Wildlife Health Center Mortality Events",TRUE,FALSE,FALSE,FALSE,"current",1995-01-01,2015-01-01,TRUE,"no","yes","no","blank"
"sos71","MLST Databases",FALSE,FALSE,TRUE,FALSE,"current",2005-01-01,2015-01-01,TRUE,"neia","neia","neia","no"
"sos72","Bd Maps",FALSE,FALSE,TRUE,FALSE,"terminated",2008-01-01,2012-01-01,FALSE,"no","yes","no","blank"
"sos73","National Bioterrorism Syndromic Surveillance Demonstration Program",TRUE,FALSE,TRUE,TRUE,"neia",NA,NA,FALSE,"yes","no","no","yes"
"sos74","New Hampshire Communicable Disease Control and Surveillance",TRUE,FALSE,FALSE,FALSE,"current",2010-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos75","Blood stream (bacteraemia) infection surveillance- Wales",TRUE,FALSE,FALSE,FALSE,"terminated",2006-01-01,2011-01-01,FALSE,"yes","no","no","no"
"sos76","Departamento de Epidemiologia, Chile",TRUE,FALSE,FALSE,FALSE,"terminated",2001-01-01,2008-01-01,FALSE,"yes","no","no","yes"
"sos77","Norwegian Surveillance System for Communicable Diseases (MSIS)",TRUE,FALSE,FALSE,FALSE,"current",1977-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos78","Vessel Sanitation Program (VSP)",TRUE,FALSE,FALSE,FALSE,"current",2011-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos79","Bovine TB Surveillance in Great Britain",TRUE,FALSE,FALSE,FALSE,"terminated",2009-01-01,2013-01-01,FALSE,"no","yes","no","blank"
"sos80","Bolet’n Epidemiologico, Paraguay",TRUE,FALSE,FALSE,FALSE,"current",2006-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos81","Clostridium difficile surveillance in Wales",TRUE,FALSE,FALSE,FALSE,"terminated",2005-01-01,2013-01-01,FALSE,"yes","no","no","no"
"sos82","ArboNET",TRUE,FALSE,FALSE,FALSE,"current",2000-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos83","Campylobacter Laboratory Reporting System",TRUE,FALSE,FALSE,FALSE,"current",1988-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos84","OzFoodNet Outbreak Database (OFN)",TRUE,FALSE,FALSE,FALSE,"terminated",2000-01-01,2013-01-01,FALSE,"yes","no","no","no"
"sos85","Colorado Electronic Disease Reporting System (CEDRS)",TRUE,FALSE,FALSE,FALSE,"current",1999-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos86","Ohio STD Surveillance Program",TRUE,FALSE,FALSE,FALSE,"current",2010-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos87","Joint Warning Network (JWARN)",TRUE,FALSE,FALSE,TRUE,"current",1997-01-01,2015-01-01,TRUE,"no","no","no","neia"
"sos88","RAS BICHAT",TRUE,FALSE,FALSE,FALSE,"neia",2002-01-01,NA,FALSE,"no","no","no","neia"
"sos89","Sentinelles",TRUE,FALSE,FALSE,FALSE,"current",1984-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos90","GP Sentinel Surveillance (Northern Ireland)",TRUE,FALSE,FALSE,FALSE,"neia",NA,NA,FALSE,"yes","no","no","yes"
"sos91","Vector-Borne Disease Airline Importation Risk Tool (VBD-AIR)",FALSE,FALSE,TRUE,FALSE,"terminated",2009-01-01,2013-01-01,FALSE,"yes","yes","no","blank"
"sos92","Genitourinary medicine clinic activity dataset (GUMCADv2)",TRUE,FALSE,FALSE,FALSE,"current",2010-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos93","European Surveillance of Sexually Transmitted infections (ESSTI)",TRUE,FALSE,FALSE,FALSE,"current",2001-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos94","European Network for STI Surveillance",TRUE,FALSE,FALSE,FALSE,"absorbed",2001-01-01,2009-01-01,FALSE,"yes","no","no","no"
"sos95","African Cholera Surveillance Network (Africhol)",FALSE,FALSE,TRUE,FALSE,"current",2008-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos96","Ministere de la Sante Publique et de la Population Cholera Report",TRUE,FALSE,FALSE,FALSE,"current",1995-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos97","Department of Epidemiology, Mexico (DGE)",TRUE,FALSE,FALSE,FALSE,"current",1984-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos98","Weekly Epidemiological Bulletin, Ministry of Health, Uganda",TRUE,FALSE,FALSE,FALSE,"current",2009-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos99","National Institute for Communicable Diseases",TRUE,FALSE,FALSE,FALSE,"current",NA,2015-01-01,TRUE,"yes","no","no","neia"
"sos100","EWARS Weekly Bulletin, Syrian Ministry of Health",TRUE,FALSE,FALSE,FALSE,"terminated",2012-01-01,2014-01-01,FALSE,"yes","no","no","neia"
"sos101","Quarantine Activity Reporting System (QARS)",TRUE,FALSE,FALSE,FALSE,"current",2005-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos102","Mekong Basin Disease Surveillance Network (MBDS)",TRUE,FALSE,FALSE,FALSE,"terminated",2007-01-01,2013-01-01,FALSE,"yes","yes","neia","blank"
"sos103","Syrian Arab Republic Weekly Bulletin",TRUE,FALSE,FALSE,FALSE,"current",2012-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos104","Global Health Atlas",TRUE,FALSE,FALSE,FALSE,"current",NA,2015-01-01,TRUE,"yes","no","no","yes"
"sos105","Cholera and Other Vibrio Illness Surveillance System (COVIS)",TRUE,FALSE,FALSE,FALSE,"terminated",1988-01-01,2012-01-01,FALSE,"yes","no","no","no"
"sos106","Canadian Congenital Anomalies Surveillance Network (CCASN)",TRUE,FALSE,FALSE,FALSE,"terminated",2002-01-01,2013-01-01,FALSE,"yes","no","no","no"
"sos107","Iowa Voluntary Chronic Wasting Disease Surveillance Program",TRUE,FALSE,FALSE,FALSE,"current",2000-01-01,2015-01-01,TRUE,"no","yes","no","blank"
"sos108","Electronic Disease Notification System (EDN)",TRUE,FALSE,FALSE,FALSE,"terminated",2008-01-01,2013-01-01,FALSE,"yes","no","no","no"
"sos109","Clostridium difficile infection (CDI) surveillance",TRUE,FALSE,FALSE,FALSE,"terminated",2010-01-01,2012-01-01,FALSE,"yes","no","no","no"
"sos110","Emerging infections Program (EIP) Clostridium difficile infection (CDI) surveillance -Connecticut",FALSE,FALSE,TRUE,FALSE,"current",2009-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos111","Surveillance of healthcare associated (HAI) Clostridium difficile infection (CDI)",TRUE,FALSE,FALSE,FALSE,"current",2006-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos112","Communicable Disease Surveillance System (CoSurv)",TRUE,FALSE,FALSE,FALSE,"terminated",NA,2007-01-01,FALSE,"yes","no","no","neia"
"sos113","information Bureau for infectious Disease (IBID)",TRUE,FALSE,FALSE,FALSE,"neia",2013-01-01,NA,FALSE,"yes","no","no","neia"
"sos114","British Paediatric Surveillance Unit",TRUE,FALSE,FALSE,FALSE,"current",1997-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos115","Congenital Syphilis: UK Surveillance",TRUE,FALSE,FALSE,FALSE,"terminated",2010-01-01,2014-01-01,FALSE,"yes","no","no","neia"
"sos116","California Creutzfeld-Jakob Disease (CJD) Surveillance Project",TRUE,FALSE,FALSE,FALSE,"current",2007-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos117","Australian National Creutzfeldt-Jakob Disease Registry",FALSE,FALSE,TRUE,FALSE,"current",1993-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos118","Creutzfeldt-Jakob Disease International Surveillance Network (formerly EuroCJD)",TRUE,FALSE,FALSE,FALSE,"current",1993-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos119","Creutzfeldt-Jakob Disease Surveillance System (CJDSS)",TRUE,FALSE,FALSE,FALSE,"current",1998-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos120","China Center for Disease Control and Prevention",TRUE,FALSE,FALSE,FALSE,"current",2010-01-01,2015-01-01,TRUE,"yes","neia","neia","neia"
"sos121","IDSC- infectious Disease Weekly Report",TRUE,FALSE,FALSE,FALSE,"terminated",1998-01-01,2011-01-01,FALSE,"yes","yes","no","blank"
"sos122","Critical Care Infection Surveillance in Wales",TRUE,FALSE,FALSE,FALSE,"terminated",2007-01-01,2011-01-01,FALSE,"yes","no","no","yes"
"sos123","Cryptosporidium Reference Laboratory Reports",TRUE,FALSE,FALSE,FALSE,"current",2000-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos124","Protozoal Database",TRUE,FALSE,FALSE,FALSE,"current",1998-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos125","Cyclospora Sentinel Surveillance Network (CSSN)",TRUE,FALSE,FALSE,FALSE,"neia",1997-01-01,NA,FALSE,"yes","no","no","no"
"sos126","Australian Paediatric Surveillance Unit (APSU)",FALSE,FALSE,TRUE,FALSE,"current",1993-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos127","DengueNet",TRUE,FALSE,FALSE,FALSE,"terminated",1995-01-01,2002-01-01,FALSE,"yes","no","no","no"
"sos128","Google Dengue Trends",FALSE,FALSE,FALSE,TRUE,"current",2011-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos129","Epidemiology Unit, Ministry of Health, Sri Lanka",TRUE,FALSE,FALSE,FALSE,"terminated",1959-01-01,2012-01-01,FALSE,"yes","no","no","yes"
"sos130","National Institute for Public Health and the Environment, Netherlands (RIVM)",TRUE,FALSE,FALSE,FALSE,"current",2007-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos131","Monthly Surveillance Report, New Zealand",TRUE,FALSE,FALSE,FALSE,"current",2001-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos132","Ministerio de Salud, Nicaragua",TRUE,FALSE,FALSE,FALSE,"current",NA,2015-01-01,TRUE,"yes","no","no","neia"
"sos133","Disease Early Warning System (DEWS)",TRUE,FALSE,FALSE,FALSE,"current",2006-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos134","Weekly Epidemiological Bulletin, Pakistan",TRUE,FALSE,FALSE,FALSE,"terminated",2013-01-01,2014-01-01,FALSE,"yes","no","no","yes"
"sos135","Border Infectious Disease Surveillance Project (BIDS)",TRUE,FALSE,FALSE,FALSE,"current",1999-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos136","Salud Boricua",FALSE,FALSE,TRUE,FALSE,"current",2013-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos137","Ministerio del Poder Popular para la Salud, Venezuela",TRUE,FALSE,FALSE,FALSE,"current",2002-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos138","Department of Health, Philippines",TRUE,FALSE,FALSE,FALSE,"current",1993-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos139","Pacific Public Health Surveillance Network (PPHSN)",TRUE,FALSE,FALSE,FALSE,"current",1996-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos140","Locust Watch",TRUE,FALSE,FALSE,FALSE,"current",2009-01-01,2015-01-01,TRUE,"no","yes","no","blank"
"sos141","Canadian Chronic Disease Surveillance System (CCDSS)",TRUE,FALSE,FALSE,FALSE,"terminated",1999-01-01,2009-01-01,FALSE,"yes","no","no","yes"
"sos142","Bolentin Epidemiologico del IPK",TRUE,FALSE,FALSE,FALSE,"current",2004-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos143","Institutional Disease Surveillance (IDS)",TRUE,FALSE,FALSE,FALSE,"neia",NA,NA,FALSE,"yes","no","no","neia"
"sos144","infectious Disease Registry, Finland",TRUE,FALSE,FALSE,FALSE,"current",1995-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos145","Vaccine-preventable disease (VPD) surveillance, Australia",TRUE,FALSE,FALSE,FALSE,"terminated",1993-01-01,2007-01-01,FALSE,"yes","no","no","yes"
"sos146","European Diphtheria Surveillance Network (EDSN) (previously known as DIPNET)",TRUE,FALSE,FALSE,FALSE,"current",2006-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos147","National Residue Program (NRP)",TRUE,FALSE,FALSE,FALSE,"current",1976-01-01,2015-01-01,TRUE,"no","yes","no","blank"
"sos148","EMERGEncy ID Net",TRUE,FALSE,FALSE,FALSE,"terminated",1995-01-01,2001-01-01,FALSE,"yes","no","no","blank"
"sos149","Ebola Tracking",FALSE,FALSE,TRUE,FALSE,"current",2014-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos150","EBOLATRACKS",TRUE,FALSE,FALSE,FALSE,"current",2014-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos151","National Enterovirus Surveillance System (NESS)",TRUE,FALSE,FALSE,FALSE,"current",1967-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos152","Surveillance Infectieziekten in kinderdagverblijven (KIzSS)",TRUE,FALSE,FALSE,FALSE,"current",2011-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos153","2 SE FAG",TRUE,FALSE,FALSE,FALSE,"neia",2004-01-01,NA,FALSE,"yes","no","no","yes"
"sos154","Regional Animal Disease Surveillance and Control Network (RADISCON)",TRUE,FALSE,FALSE,FALSE,"terminated",1996-01-01,2000-01-01,FALSE,"no","yes","no","blank"
"sos155","FoodNet (Canada)",TRUE,FALSE,FALSE,FALSE,"current",2005-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos156","Microbiological and Residue Computer information System (MARCIS)",TRUE,FALSE,FALSE,FALSE,"current",NA,2015-01-01,TRUE,"no","yes","no","blank"
"sos157","FDA Food Safety Surveys",TRUE,FALSE,FALSE,FALSE,"terminated",1993-01-01,2010-01-01,FALSE,"no","yes","yes","blank"
"sos158","Foodborne Outbreak Online Database FOOD Tool",TRUE,FALSE,FALSE,FALSE,"current",1998-01-01,2015-01-01,TRUE,"yes","no","no","blank"
"sos159","Foodborne Outbreak Reporting System (eFORS)",TRUE,FALSE,FALSE,FALSE,"absorbed",1998-01-01,2008-01-01,FALSE,"yes","no","no","no"
"sos160","National Molecular Subtyping Network for Foodborne Disease Surveillance (PulseNet)",TRUE,FALSE,FALSE,FALSE,"terminated",1996-01-01,2013-01-01,FALSE,"yes","no","yes","no"
"sos161","National Voluntary Environmental Assessment information System (NVEAIS)",TRUE,FALSE,FALSE,FALSE,"current",2014-01-01,2015-01-01,TRUE,"no","no","no","yes"
"sos162","Rapid Alert System for Food and Feed (RASFF)",TRUE,FALSE,FALSE,FALSE,"current",1979-01-01,2015-01-01,TRUE,"no","no","yes","blank"
"sos163","Statistical Outbreak Detection Algorithm (SODA)",TRUE,FALSE,FALSE,FALSE,"neia",NA,NA,FALSE,"yes","no","no","no"
"sos164","Foodborne Disease Outbreak Surveillance System (FDOSS)",TRUE,FALSE,FALSE,FALSE,"current",1973-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos165","Emergency Prevention System for Food Safety (EMPRES)",TRUE,FALSE,FALSE,FALSE,"current",1994-01-01,2015-01-01,TRUE,"yes","yes","yes","blank"
"sos166","Foodborne Disease Outbreak Investigation System (FDOIS)",TRUE,FALSE,FALSE,FALSE,"neia",2010-01-01,NA,FALSE,"yes","no","yes","neia"
"sos167","RUsick",TRUE,FALSE,FALSE,FALSE,"terminated",2002-01-01,2002-01-01,FALSE,"yes","no","no","yes"
"sos168","Surveillance Infectieziekten in verpleeghuizen (SNIV)",TRUE,FALSE,FALSE,FALSE,"current",2011-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos169","Australian Gonococcal Surveillance Programme",TRUE,FALSE,FALSE,FALSE,"terminated",1996-01-01,2013-01-01,FALSE,"yes","no","no","no"
"sos170","Gonococcal Isolate Surveillance Project (GISP)",TRUE,FALSE,FALSE,FALSE,"current",1987-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos171","Gonococcal Resistance to Antimicrobials Surveillance Programme (GRASP)",TRUE,FALSE,FALSE,FALSE,"terminated",2000-01-01,2011-01-01,FALSE,"yes","no","no","no"
"sos172","Active Bacterial Core (ABC)",TRUE,FALSE,FALSE,FALSE,"current",1995-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos173","Guillain-Barre Syndrome (GBS) Surveillance project",TRUE,FALSE,FALSE,FALSE,"terminated",2009-01-01,2011-01-01,FALSE,"yes","no","no","neia"
"sos174","Ministry of Health, Singapore",TRUE,FALSE,FALSE,FALSE,"neia",NA,NA,FALSE,"yes","no","no","blank"
